"customerkey","geographykey","customername","englisheducation","commutedistance"
22373,60,"Gabrielle Bell","Graduate Degree","1-2 Miles"
22374,618,"Luke Patterson","Graduate Degree","1-2 Miles"
22375,335,"Jasmine Williams","Graduate Degree","1-2 Miles"
22376,542,"Marcus Martin","Graduate Degree","1-2 Miles"
22377,183,"Roger Zeng","Graduate Degree","0-1 Miles"
22378,219,"Rebekah Malhotra","Graduate Degree","0-1 Miles"
22379,224,"Fernando Hayes","Graduate Degree","0-1 Miles"
22380,126,"Brendan Nath","Graduate Degree","0-1 Miles"
22381,120,"Hunter Patterson","Graduate Degree","0-1 Miles"
22382,250,"Bethany Xu","Graduate Degree","0-1 Miles"
22383,261,"Devin Jenkins","Graduate Degree","0-1 Miles"
22384,121,"Paige Sanchez","Bachelors","0-1 Miles"
22385,230,"Misty Lal","Graduate Degree","0-1 Miles"
22386,174,"Jerome Gill","Graduate Degree","0-1 Miles"
22387,173,"Audrey Romero","Graduate Degree","0-1 Miles"
22388,241,"Bradley Beck","Graduate Degree","0-1 Miles"
22389,121,"Edwin Luo","Bachelors","0-1 Miles"
22390,176,"Kelvin Zheng","Bachelors","0-1 Miles"
22391,175,"Angela Watson","Partial College","0-1 Miles"
22392,220,"Bailey Gray","Partial College","0-1 Miles"
22393,150,"Chelsea Perez","Partial College","0-1 Miles"
22394,222,"Meagan Suri","Graduate Degree","0-1 Miles"
22395,196,"Jermaine Patel","Bachelors","0-1 Miles"
22396,274,"Rebekah Patel","Bachelors","0-1 Miles"
22397,215,"Marie Patel","Partial College","0-1 Miles"
22398,132,"Sheila Moreno","Partial College","0-1 Miles"
22399,9,"Arthur Fernandez","Partial College","1-2 Miles"
22400,38,"Ruben Martin","Partial College","0-1 Miles"
22401,26,"Ian Price","Partial College","2-5 Miles"
22402,26,"Clarence Xie","Partial College","2-5 Miles"
22403,5,"Cedric Beck","Partial College","2-5 Miles"
22404,31,"Margaret Xu","Partial College","0-1 Miles"
22405,28,"Leonard Becker","Partial College","2-5 Miles"
22406,7,"Kelvin Shen","High School","0-1 Miles"
22407,6,"Carolyn Gonzalez","High School","2-5 Miles"
22408,38,"Clarence Shan","High School","1-2 Miles"
22409,25,"Candace Madan","Bachelors","0-1 Miles"
22410,25,"Cassandra Arthur","Bachelors","0-1 Miles"
22411,19,"Amy He","Bachelors","0-1 Miles"
22412,35,"Drew Andersen","Bachelors","0-1 Miles"
22413,204,"Kristi Diaz","Partial College","1-2 Miles"
22414,132,"Eugene Wu","Partial College","1-2 Miles"
22415,161,"Natalie Phillips","Bachelors","0-1 Miles"
22416,247,"Tabitha Romero","Bachelors","0-1 Miles"
22417,202,"Shaun Goel","Partial College","1-2 Miles"
22418,234,"Jacob Smith","Graduate Degree","0-1 Miles"
22419,208,"Damien Xu","High School","2-5 Miles"
22420,184,"Richard Moore","High School","1-2 Miles"
22421,230,"Barbara Sharma","Partial College","2-5 Miles"
22422,267,"Nichole Black","Graduate Degree","0-1 Miles"
22423,196,"Byron Hernandez","Partial College","0-1 Miles"
22424,206,"Edwin Rai","Partial College","2-5 Miles"
22425,213,"Roy Sullivan","Partial College","2-5 Miles"
22426,218,"Heather Zhu","Graduate Degree","0-1 Miles"
22427,258,"Willie Sharma","Bachelors","0-1 Miles"
22428,279,"Destiny Smith","Bachelors","0-1 Miles"
22429,261,"Jesse Reed","Bachelors","0-1 Miles"
22430,188,"Brad Chande","Graduate Degree","0-1 Miles"
22431,200,"Marie Dominguez","High School","1-2 Miles"
22432,131,"Bridget Xie","High School","0-1 Miles"
22433,273,"Miguel Hill","Partial College","2-5 Miles"
22434,247,"Billy Schmidt","Partial College","0-1 Miles"
22435,187,"Ross Navarro","High School","0-1 Miles"
22436,154,"Roger Raji","Bachelors","0-1 Miles"
22437,275,"Trisha Zheng","Graduate Degree","0-1 Miles"
22438,215,"Casey Jiménez","Partial College","2-5 Miles"
22439,267,"Tracy Raji","Bachelors","0-1 Miles"
22440,213,"Robyn Sanz","Bachelors","1-2 Miles"
22441,120,"Andrea Torres","Bachelors","0-1 Miles"
22442,240,"Trisha Sun","Bachelors","0-1 Miles"
22443,184,"Marvin Suarez","Bachelors","0-1 Miles"
22444,118,"Colin Xie","Graduate Degree","0-1 Miles"
22445,180,"Diane Suarez","Graduate Degree","0-1 Miles"
22446,239,"Jake Wu","Graduate Degree","0-1 Miles"
22447,168,"Tara Shan","Graduate Degree","0-1 Miles"
22448,212,"Cindy Weber","Graduate Degree","0-1 Miles"
22449,206,"Heather He","Graduate Degree","0-1 Miles"
22450,178,"Audrey Alvarez","Graduate Degree","0-1 Miles"
22451,236,"Barbara Rai","Graduate Degree","0-1 Miles"
22452,240,"Carly Deng","Graduate Degree","0-1 Miles"
22453,127,"Dakota Long","Bachelors","0-1 Miles"
22454,258,"Rebekah Raman","Partial College","0-1 Miles"
22455,132,"Roy Kapoor","Partial College","0-1 Miles"
22456,272,"Brittney Guo","Partial College","0-1 Miles"
22457,234,"Kimberly Cooper","High School","0-1 Miles"
22458,213,"Kendra Vazquez","Partial College","0-1 Miles"
22459,154,"Johnny Xu","Partial College","2-5 Miles"
22460,245,"Julio Torres","Partial College","2-5 Miles"
22461,273,"Arturo Luo","Partial College","2-5 Miles"
22462,130,"Lydia Chandra","Partial College","0-1 Miles"
22463,221,"Raymond Chandra","Bachelors","2-5 Miles"
22464,211,"Erik Sanz","Graduate Degree","0-1 Miles"
22465,219,"Arturo Shan","Graduate Degree","0-1 Miles"
22466,202,"Raul Tang","Partial College","1-2 Miles"
22467,258,"Neil Alvarez","Partial College","2-5 Miles"
22468,245,"Ruben Gonzalez","Partial College","2-5 Miles"
22469,117,"Sabrina Moreno","Partial College","2-5 Miles"
22470,240,"Carly Tang","Bachelors","2-5 Miles"
22471,205,"Joel Martinez","Bachelors","1-2 Miles"
22472,212,"Bridget Sharma","Bachelors","0-1 Miles"
22473,141,"Clifford Patel","Bachelors","1-2 Miles"
22474,166,"Leah Zhu","Partial High School","0-1 Miles"
22475,229,"Heidi Rana","Partial High School","0-1 Miles"
22476,175,"Shane Martinez","High School","0-1 Miles"
22477,133,"Kevin Diaz","High School","0-1 Miles"
22478,135,"Carolyn Browning","Bachelors","1-2 Miles"
22479,157,"Tammy Malhotra","Bachelors","2-5 Miles"
22480,225,"Abby Gonzalez","Bachelors","0-1 Miles"
22481,176,"Erik Ortega","Bachelors","2-5 Miles"
22482,131,"Cassidy Jenkins","Partial High School","0-1 Miles"
22483,200,"Lee Ramos","Partial High School","0-1 Miles"
22484,193,"Kristy Ruiz","High School","0-1 Miles"
22485,223,"Andy Suarez","High School","0-1 Miles"
22486,154,"Jimmy Ruiz","High School","0-1 Miles"
22487,224,"Jonathon Gill","High School","0-1 Miles"
22488,115,"Frederick Patel","Bachelors","0-1 Miles"
22489,213,"Roger Xie","Bachelors","0-1 Miles"
22490,217,"Desiree Vazquez","Partial High School","0-1 Miles"
22491,171,"Jerry Nara","High School","0-1 Miles"
22492,161,"Jorge She","High School","0-1 Miles"
22493,170,"Dwayne Sanz","High School","0-1 Miles"
22494,127,"Jon Andersen","High School","0-1 Miles"
22495,216,"Andy Serrano","High School","0-1 Miles"
22496,236,"Christina Brooks","Bachelors","0-1 Miles"
22497,128,"Casey Gomez","Partial High School","0-1 Miles"
22498,220,"Pedro Jimenez","High School","0-1 Miles"
22499,218,"Dawn Zhou","High School","0-1 Miles"
22500,198,"Brent Zhao","Bachelors","0-1 Miles"
22501,204,"Colin Ye","Bachelors","0-1 Miles"
22502,236,"Grace Miller","Bachelors","0-1 Miles"
22503,261,"Sandra Zhao","Bachelors","0-1 Miles"
22504,267,"Arturo Rai","Graduate Degree","0-1 Miles"
22505,270,"Julie Shen","Partial College","0-1 Miles"
22506,117,"Brenda Prasad","Partial College","0-1 Miles"
22507,117,"Louis Wang","Partial College","0-1 Miles"
22508,159,"Jon Huang","Bachelors","0-1 Miles"
22509,160,"Lacey Nara","Bachelors","0-1 Miles"
22510,267,"Lori Gill","Bachelors","0-1 Miles"
22511,186,"Wendy Suarez","Partial College","0-1 Miles"
22512,223,"Meagan Mehta","Partial College","0-1 Miles"
22513,215,"Kenneth Anand","Partial College","0-1 Miles"
22514,160,"Marvin Johnsen","High School","2-5 Miles"
22515,207,"Alexa Morris","High School","0-1 Miles"
22516,157,"Adrienne Ortega","Partial College","0-1 Miles"
22517,120,"Luis Adams","Partial College","0-1 Miles"
22518,266,"Jillian Sai","Partial College","0-1 Miles"
22519,175,"Logan Hughes","Bachelors","0-1 Miles"
22520,251,"Rodney Torres","Bachelors","0-1 Miles"
22521,131,"Christina Rivera","Partial College","2-5 Miles"
22522,171,"Benjamin Hayes","Partial College","0-1 Miles"
22523,131,"Jon Xu","Bachelors","0-1 Miles"
22524,189,"Michele Hernandez","Bachelors","0-1 Miles"
22525,178,"Julio Gutierrez","Partial College","0-1 Miles"
22526,263,"Jamie Moreno","Partial College","0-1 Miles"
22527,186,"Rachel Flores","High School","2-5 Miles"
22528,233,"Jaime Blanco","High School","2-5 Miles"
22529,205,"Ross Raman","Partial High School","0-1 Miles"
22530,264,"Kelli Jai","High School","2-5 Miles"
22531,193,"Tiffany Zhou","High School","2-5 Miles"
22532,269,"Ryan Thomas","Partial College","2-5 Miles"
22533,147,"Jake Liu","Partial High School","0-1 Miles"
22534,202,"Suzanne Liang","Partial College","2-5 Miles"
22535,237,"Rachael Prasad","Bachelors","1-2 Miles"
22536,262,"Brianna Rogers","Bachelors","0-1 Miles"
22537,160,"Xavier Jenkins","Partial High School","1-2 Miles"
22538,224,"Bianca Wang","Partial High School","1-2 Miles"
22539,276,"Randall Sanz","Partial High School","0-1 Miles"
22540,231,"Latasha Ramos","Partial High School","0-1 Miles"
22541,151,"Stefanie Martinez","Partial College","2-5 Miles"
22542,201,"Teresa Alvarez","Partial College","2-5 Miles"
22543,547,"Jeremy Campbell","Graduate Degree","1-2 Miles"
22544,62,"Maria Evans","Graduate Degree","1-2 Miles"
22545,51,"Brittany Bryant","Graduate Degree","1-2 Miles"
22546,543,"Nicholas Jones","High School","10+ Miles"
22547,343,"Elijah Flores","Graduate Degree","1-2 Miles"
22548,358,"Angela Brooks","Graduate Degree","0-1 Miles"
22549,631,"Isabel Russell","Graduate Degree","0-1 Miles"
22550,278,"Kristopher Rana","Bachelors","0-1 Miles"
22551,159,"Andy Rubio","Graduate Degree","0-1 Miles"
22552,222,"Andrea Rusko","Graduate Degree","0-1 Miles"
22553,262,"Melinda Vazquez","Graduate Degree","0-1 Miles"
22554,277,"Gilbert Xu","Bachelors","0-1 Miles"
22555,223,"Ethan Taylor","Bachelors","0-1 Miles"
22556,224,"Oscar Griffin","Bachelors","0-1 Miles"
22557,243,"Jason Scott","Partial College","0-1 Miles"
22558,272,"Ernest Ye","Partial College","0-1 Miles"
22559,279,"Stacy Vazquez","Partial College","0-1 Miles"
22560,231,"Casey Jai","Partial College","0-1 Miles"
22561,185,"Katie Nara","Partial College","0-1 Miles"
22562,221,"Kelli Li","Partial College","0-1 Miles"
22563,174,"Darren Weber","Partial College","0-1 Miles"
22564,264,"Autumn Sun","Bachelors","0-1 Miles"
22565,166,"Brenda Subram","Bachelors","0-1 Miles"
22566,233,"Damien Pal","Partial College","0-1 Miles"
22567,201,"Glenn Zhu","Graduate Degree","0-1 Miles"
22568,165,"Autumn Wu","Graduate Degree","0-1 Miles"
22569,258,"Johnny Goel","Graduate Degree","0-1 Miles"
22570,273,"Jackson Yang","Bachelors","0-1 Miles"
22571,9,"Armando Vazquez","Partial College","2-5 Miles"
22572,19,"Karen Cai","Partial College","2-5 Miles"
22573,4,"Lance Sanz","Partial College","0-1 Miles"
22574,13,"Randy Zheng","Partial College","0-1 Miles"
22575,35,"Orlando Blanco","Bachelors","0-1 Miles"
22576,11,"Tony Xu","Bachelors","0-1 Miles"
22577,13,"Bryant Sai","Bachelors","0-1 Miles"
22578,37,"Juan Vazquez","High School","0-1 Miles"
22579,13,"Kara Lal","High School","1-2 Miles"
22580,23,"Alexis Long","High School","1-2 Miles"
22581,19,"Theresa Vazquez","Bachelors","0-1 Miles"
22582,27,"Evelyn Madan","Bachelors","0-1 Miles"
22583,25,"Troy Sara","Partial College","1-2 Miles"
22584,211,"Meagan Lopez","Partial College","1-2 Miles"
22585,144,"Kelvin He","Graduate Degree","0-1 Miles"
22586,279,"Derek Shen","Graduate Degree","0-1 Miles"
22587,150,"Gina Alonso","Partial College","0-1 Miles"
22588,239,"Teresa Martin","Partial College","1-2 Miles"
22589,262,"Cynthia Suri","Partial College","1-2 Miles"
22590,171,"Oscar Hughes","Partial College","0-1 Miles"
22591,147,"Jon Becker","Graduate Degree","0-1 Miles"
22592,269,"Lindsey Anand","Graduate Degree","0-1 Miles"
22593,190,"Thomas Johnson","Bachelors","0-1 Miles"
22594,231,"Gabriella James","Bachelors","0-1 Miles"
22595,180,"Nicolas Xie","Graduate Degree","0-1 Miles"
22596,248,"Omar Xu","Bachelors","0-1 Miles"
22597,140,"Rachael Chandra","Bachelors","0-1 Miles"
22598,163,"Donald Sanchez","Bachelors","0-1 Miles"
22599,244,"Philip Gill","Graduate Degree","0-1 Miles"
22600,241,"Maurice Kumar","Bachelors","0-1 Miles"
22601,183,"Aimee Gao","Bachelors","0-1 Miles"
22602,275,"Kelli Andersen","High School","0-1 Miles"
22603,189,"Autumn He","High School","0-1 Miles"
22604,243,"Wyatt Simmons","Partial College","2-5 Miles"
22605,273,"Derrick Schmidt","Partial College","1-2 Miles"
22606,149,"Alfredo Hernandez","Partial College","2-5 Miles"
22607,171,"Whitney Gonzalez","Partial College","1-2 Miles"
22608,233,"Arthur Munoz","High School","0-1 Miles"
22609,141,"Clarence Cai","Bachelors","0-1 Miles"
22610,163,"Brent Chen","Bachelors","0-1 Miles"
22611,267,"Chad Deng","Graduate Degree","0-1 Miles"
22612,191,"Franklin Huang","Partial College","2-5 Miles"
22613,264,"Dale Luo","Partial College","2-5 Miles"
22614,255,"Tommy Shan","Bachelors","0-1 Miles"
22615,157,"Misty Xu","Bachelors","0-1 Miles"
22616,258,"Jake Zhang","Graduate Degree","0-1 Miles"
22617,117,"Andres Nath","Graduate Degree","0-1 Miles"
22618,244,"Rosa Cai","Graduate Degree","0-1 Miles"
22619,147,"Robin Hernandez","Graduate Degree","0-1 Miles"
22620,157,"Stefanie Suri","Graduate Degree","0-1 Miles"
22621,162,"Xavier Davis","Graduate Degree","0-1 Miles"
22622,257,"Neil Sanz","Partial College","0-1 Miles"
22623,176,"Jamie Suarez","Partial College","0-1 Miles"
22624,189,"Sandra Wu","High School","0-1 Miles"
22625,221,"Meagan Patel","High School","0-1 Miles"
22626,208,"Arturo Anand","High School","0-1 Miles"
22627,144,"Shawna Sharma","Partial College","0-1 Miles"
22628,130,"Marshall Lu","Partial College","2-5 Miles"
22629,241,"Matthew Rodriguez","Graduate Degree","0-1 Miles"
22630,237,"Roger Wu","Bachelors","1-2 Miles"
22631,237,"Theodore Serrano","Bachelors","0-1 Miles"
22632,199,"Tabitha Perez","Graduate Degree","0-1 Miles"
22633,120,"Claudia Zhao","Graduate Degree","0-1 Miles"
22634,241,"Giraldo Sandoval","Graduate Degree","0-1 Miles"
22635,244,"Kristi Hernandez","Graduate Degree","0-1 Miles"
22636,265,"Stacey Zhu","Bachelors","0-1 Miles"
22637,267,"Ana Alexander","Bachelors","0-1 Miles"
22638,161,"Kristi Gutierrez","Partial High School","0-1 Miles"
22639,239,"Lori Munoz","Partial College","2-5 Miles"
22640,261,"Caleb Li","Partial College","2-5 Miles"
22641,223,"Abigail Diaz","Partial College","2-5 Miles"
22642,269,"Garrett Rivera","Partial College","1-2 Miles"
22643,230,"Brenda Suri","High School","2-5 Miles"
22644,147,"Marc Ortega","Bachelors","1-2 Miles"
22645,184,"Isabella Murphy","Bachelors","0-1 Miles"
22646,247,"Cara She","High School","1-2 Miles"
22647,207,"Taylor Martinez","Bachelors","0-1 Miles"
22648,222,"Kaitlin Srini","Bachelors","0-1 Miles"
22649,184,"Corey Tang","Bachelors","0-1 Miles"
22650,115,"Kristina Suri","Bachelors","0-1 Miles"
22651,211,"Frederick Sara","Bachelors","0-1 Miles"
22652,168,"Gilbert Shan","High School","0-1 Miles"
22653,256,"Carolyn Dominguez","High School","0-1 Miles"
22654,215,"Orlando Romero","High School","0-1 Miles"
22655,120,"Lucas Young","High School","0-1 Miles"
22656,243,"Willie Goel","Partial High School","0-1 Miles"
22657,273,"Clinton Suarez","Partial High School","0-1 Miles"
22658,220,"Devin Rodriguez","High School","0-1 Miles"
22659,120,"Shawna Luo","High School","0-1 Miles"
22660,155,"Monica Lopez","High School","0-1 Miles"
22661,215,"Tracy Shan","Bachelors","0-1 Miles"
22662,241,"Tyrone Carlson","Bachelors","0-1 Miles"
22663,191,"Terrence Deng","Partial College","0-1 Miles"
22664,187,"Dawn Yang","Bachelors","0-1 Miles"
22665,120,"Orlando Diaz","Bachelors","0-1 Miles"
22666,159,"Mayra Srini","Bachelors","0-1 Miles"
22667,239,"Roy Rana","Bachelors","0-1 Miles"
22668,245,"Adrienne Hernandez","Bachelors","0-1 Miles"
22669,250,"Lindsay Raji","Bachelors","0-1 Miles"
22670,278,"Erika Sanz","Graduate Degree","0-1 Miles"
22671,243,"Wyatt King","Partial College","0-1 Miles"
22672,241,"Crystal Wu","Partial College","0-1 Miles"
22673,222,"Andy Gill","Partial College","0-1 Miles"
22674,120,"Troy Prasad","Partial College","0-1 Miles"
22675,196,"Alexandra Winston","Partial College","0-1 Miles"
22676,193,"Stefanie Jordan","Partial College","0-1 Miles"
22677,132,"Reginald Carlson","Partial College","0-1 Miles"
22678,120,"Sydney Lee","Bachelors","0-1 Miles"
22679,159,"Derrick Dominguez","Bachelors","0-1 Miles"
22680,151,"Lee Suarez","Bachelors","0-1 Miles"
22681,220,"Tristan Barnes","Partial College","0-1 Miles"
22682,226,"Willie Luo","Partial College","0-1 Miles"
22683,190,"David Garcia","Partial College","0-1 Miles"
22684,147,"Lauren Cooper","Bachelors","0-1 Miles"
22685,132,"Barbara Ma","Partial College","0-1 Miles"
22686,251,"Wayne Anand","Partial College","0-1 Miles"
22687,246,"Javier Jiménez","Bachelors","0-1 Miles"
22688,121,"Seth Perez","Partial College","2-5 Miles"
22689,211,"Gilbert Zheng","Partial College","0-1 Miles"
22690,211,"Kurt Luo","Bachelors","0-1 Miles"
22691,219,"Gerald Raman","Bachelors","0-1 Miles"
22692,185,"Paula Alonso","Bachelors","0-1 Miles"
22693,226,"Darryl Gao","Bachelors","0-1 Miles"
22694,129,"Molly Kapoor","Partial College","0-1 Miles"
22695,256,"Darren Martin","Partial College","0-1 Miles"
22696,191,"Kari Vazquez","High School","2-5 Miles"
22697,221,"Harold Sara","High School","2-5 Miles"
22698,211,"Bradley Andersen","Partial High School","0-1 Miles"
22699,160,"Clarence Chande","Partial High School","0-1 Miles"
22700,123,"Gina Serrano","Partial High School","0-1 Miles"
22701,168,"Anne Navarro","High School","5-10 Miles"
22702,215,"Patricia Gonzalez","High School","5-10 Miles"
22703,211,"Melvin Raji","High School","5-10 Miles"
22704,197,"Bethany Raje","High School","5-10 Miles"
22705,125,"Adriana Kapoor","Partial High School","2-5 Miles"
22706,132,"Andy Ruth","Partial College","2-5 Miles"
22707,171,"Haley Russell","Partial College","2-5 Miles"
22708,219,"Anne Ruiz","Partial High School","0-1 Miles"
22709,186,"Tamara Gao","Partial High School","0-1 Miles"
22710,145,"Trisha Zhao","Partial High School","0-1 Miles"
22711,131,"Isaiah Hernandez","Partial College","0-1 Miles"
22712,184,"Monique Romero","Partial College","2-5 Miles"
22713,49,"Joseph Miller","Partial College","0-1 Miles"
22714,64,"Angelica Alexander","Partial College","0-1 Miles"
22715,66,"Marcus Watson","Partial College","0-1 Miles"
22716,614,"Caleb Nelson","Bachelors","2-5 Miles"
22717,644,"Nicole Watson","Partial College","2-5 Miles"
22718,299,"Zachary Simmons","Bachelors","2-5 Miles"
22719,311,"Jesse Brooks","Bachelors","2-5 Miles"
22720,337,"Jonathan Alexander","Graduate Degree","0-1 Miles"
22721,607,"Colleen Lin","High School","2-5 Miles"
22722,302,"Tina Fernandez","Bachelors","0-1 Miles"
22723,383,"Alexander Anderson","Graduate Degree","1-2 Miles"
22724,315,"Noah Evans","Bachelors","10+ Miles"
22725,633,"Richard Gonzales","Graduate Degree","10+ Miles"
22726,623,"Anna Morris","Graduate Degree","1-2 Miles"
22727,611,"Jodi She","Graduate Degree","10+ Miles"
22728,49,"Arianna Russell","Bachelors","10+ Miles"
22729,326,"Seth Nelson","Bachelors","10+ Miles"
22730,62,"Timothy Perez","Bachelors","10+ Miles"
22731,331,"Brandon Henderson","Bachelors","10+ Miles"
22732,66,"Sean Turner","Bachelors","1-2 Miles"
22733,611,"Alexandria Powell","Bachelors","1-2 Miles"
22734,360,"Maria Adams","Partial High School","1-2 Miles"
22735,539,"Katherine Jones","High School","10+ Miles"
22736,642,"Katherine Morgan","High School","1-2 Miles"
22737,299,"Heidi Sai","Bachelors","10+ Miles"
22738,347,"Haley Diaz","Bachelors","1-2 Miles"
22739,52,"Destiny Rodriguez","Bachelors","10+ Miles"
22740,299,"Kimberly Rogers","High School","1-2 Miles"
22741,607,"Darryl He","High School","10+ Miles"
22742,536,"Nathan Nelson","High School","2-5 Miles"
22743,623,"Kaylee Murphy","High School","10+ Miles"
22744,311,"Edward Wright","High School","2-5 Miles"
22745,385,"Alexandria Patterson","High School","10+ Miles"
22746,311,"Erica Zhang","Bachelors","2-5 Miles"
22747,325,"Brianna Martinez","Bachelors","10+ Miles"
22748,62,"Adam Phillips","Bachelors","10+ Miles"
22749,632,"Miranda Patterson","Bachelors","10+ Miles"
22750,315,"Jesse Gonzalez","Bachelors","2-5 Miles"
22751,316,"Samuel Rodriguez","Bachelors","2-5 Miles"
22752,543,"Daniel Brown","Bachelors","2-5 Miles"
22753,547,"Hailey Morgan","Partial College","2-5 Miles"
22754,627,"Robert Foster","Partial College","10+ Miles"
22755,49,"Christian Brown","Partial College","2-5 Miles"
22756,299,"Jon Nath","Partial College","2-5 Miles"
22757,339,"Savannah Peterson","Partial College","2-5 Miles"
22758,539,"Katherine Jackson","Partial College","2-5 Miles"
22759,631,"Julia Ramirez","Partial College","10+ Miles"
22760,631,"Hunter Chen","Partial College","2-5 Miles"
22761,635,"Eduardo Price","Partial College","10+ Miles"
22762,635,"Melissa Diaz","Partial College","10+ Miles"
22763,637,"Rebecca Gonzalez","Partial College","10+ Miles"
22764,648,"Chase Brooks","Partial College","10+ Miles"
22765,71,"Luis Collins","Partial College","2-5 Miles"
22766,632,"Cassidy Hayes","Partial College","10+ Miles"
22767,553,"Luis Hernandez","Partial College","10+ Miles"
22768,301,"Aaron Zhang","Bachelors","2-5 Miles"
22769,337,"Benjamin Martin","Partial College","10+ Miles"
22770,348,"Chloe Morgan","Partial College","10+ Miles"
22771,69,"Mason King","Partial High School","2-5 Miles"
22772,69,"Erin Watson","Partial High School","2-5 Miles"
22773,609,"Autumn Zhang","Partial College","10+ Miles"
22774,616,"Caleb Alexander","Partial College","10+ Miles"
22775,311,"Madison Martinez","Partial College","2-5 Miles"
22776,331,"Julia Perry","Partial College","1-2 Miles"
22777,614,"Tyler Garcia","High School","10+ Miles"
22778,298,"Monique Dominguez","Partial College","10+ Miles"
22779,299,"Lance Ruiz","Partial College","10+ Miles"
22780,337,"Jennifer Rogers","Partial College","2-5 Miles"
22781,352,"Hunter Powell","Partial College","10+ Miles"
22782,361,"Dakota Wood","Partial College","10+ Miles"
22783,626,"Isaac Green","Partial High School","10+ Miles"
22784,338,"Nicholas Jackson","Partial High School","2-5 Miles"
22785,54,"Oscar Perry","Partial High School","10+ Miles"
22786,612,"Wyatt Goldstein","Partial High School","10+ Miles"
22787,385,"Andrea Sanchez","Partial High School","10+ Miles"
22788,374,"Jordan Jenkins","Partial High School","2-5 Miles"
22789,359,"Richard Taylor","Partial High School","10+ Miles"
22790,368,"Luke Phillips","Partial High School","10+ Miles"
22791,307,"Taylor Jenkins","High School","2-5 Miles"
22792,547,"Thomas Carter","Partial College","10+ Miles"
22793,648,"Antonio Jenkins","Partial College","10+ Miles"
22794,239,"Kelli Deng","Partial College","5-10 Miles"
22795,201,"Tara Yuan","Partial College","5-10 Miles"
22796,179,"Brad Nath","Partial College","5-10 Miles"
22797,119,"Leonard She","Partial College","0-1 Miles"
22798,238,"Heidi Fernandez","High School","5-10 Miles"
22799,231,"Riley Alexander","Partial High School","5-10 Miles"
22800,215,"Dwayne Alvarez","High School","2-5 Miles"
22801,154,"Alicia Raje","Partial College","10+ Miles"
22802,118,"Ann Van","Partial High School","10+ Miles"
22803,162,"Marshall Shan","Partial College","0-1 Miles"
22804,147,"Kelly Butler","Partial College","2-5 Miles"
22805,143,"Cristina Goel","Bachelors","10+ Miles"
22806,115,"Crystal Sun","Partial College","10+ Miles"
22807,254,"Cindy Garcia","Bachelors","0-1 Miles"
22808,274,"Ebony Suri","Bachelors","0-1 Miles"
22809,166,"Martin Sara","Partial College","10+ Miles"
22810,160,"Nathaniel Sanchez","Partial College","2-5 Miles"
22811,239,"Brent Stone","Bachelors","10+ Miles"
22812,243,"Destiny Washington","Bachelors","5-10 Miles"
22813,257,"Jerry Deng","Bachelors","5-10 Miles"
22814,219,"Edwin Kumar","Bachelors","10+ Miles"
22815,147,"Margaret Wang","Bachelors","10+ Miles"
22816,172,"Erica Cai","Bachelors","10+ Miles"
22817,135,"Calvin Nath","Bachelors","10+ Miles"
22818,264,"Janet Ruiz","Graduate Degree","5-10 Miles"
22819,255,"Daisy Alvarez","Partial College","2-5 Miles"
22820,190,"Alex Nelson","High School","2-5 Miles"
22821,133,"Wendy Munoz","Partial College","0-1 Miles"
22822,271,"Devin Anderson","High School","10+ Miles"
22823,267,"Isabel Alexander","Bachelors","0-1 Miles"
22824,188,"April Nath","Partial College","2-5 Miles"
22825,231,"Kelli Zeng","Partial College","10+ Miles"
22826,238,"Christian Russell","High School","10+ Miles"
22827,209,"Clayton Gao","High School","10+ Miles"
22828,264,"Francisco Suri","Partial College","0-1 Miles"
22829,226,"Chelsea Chandra","High School","5-10 Miles"
22830,147,"Lee Travers","Partial College","10+ Miles"
22831,214,"Victor Ruiz","Partial High School","10+ Miles"
22832,214,"Martin Gonzalez","Partial High School","5-10 Miles"
22833,185,"Bruce Prasad","High School","10+ Miles"
22834,165,"Darryl Zhou","Partial High School","5-10 Miles"
22835,144,"Alan Zhang","Partial High School","5-10 Miles"
22836,168,"Michele Sai","Partial High School","10+ Miles"
22837,251,"Sergio Chandra","High School","10+ Miles"
22838,261,"Cedric Rai","Partial High School","0-1 Miles"
22839,23,"Brandy Mehta","Bachelors","2-5 Miles"
22840,2,"Dominic Sullivan","Bachelors","10+ Miles"
22841,29,"Douglas Martinez","Bachelors","10+ Miles"
22842,20,"Michele Nara","Bachelors","10+ Miles"
22843,3,"Tiffany Lu","Bachelors","10+ Miles"
22844,16,"Marie Arun","Bachelors","10+ Miles"
22845,18,"Jake Chen","Bachelors","10+ Miles"
22846,35,"Frank Gutierrez","Bachelors","10+ Miles"
22847,4,"Jaclyn Chen","Bachelors","10+ Miles"
22848,7,"Peter Pal","Bachelors","10+ Miles"
22849,38,"Kristopher Suri","Bachelors","10+ Miles"
22850,14,"Devon Luo","High School","10+ Miles"
22851,21,"Kaylee Edwards","Bachelors","10+ Miles"
22852,33,"Billy Alonso","Bachelors","10+ Miles"
22853,10,"Tasha Pal","Bachelors","10+ Miles"
22854,27,"Ebony Mehta","High School","10+ Miles"
22855,28,"Summer Sai","Partial College","10+ Miles"
22856,21,"Lance Carlson","Bachelors","10+ Miles"
22857,40,"Julio Romero","High School","10+ Miles"
22858,8,"Deborah Tang","High School","10+ Miles"
