"customerkey","geographykey","customeralternatekey","fullname","gender","maritalstatus","emailaddress","yearlyincome","addressline1","phone","datefirstpurchase","commutedistance"
21171,26,"AW00021171","Christopher E Taylor","M","S","christopher9@adventure-works.com","70000.00","6355 Corte Del Sol","1 (11) 500 555-0194","2022-05-06","10+ Miles"
21172,21,"AW00021172","Francisco D Sanchez","M","M","francisco22@adventure-works.com","70000.00","5872 Matterhorn Court","1 (11) 500 555-0156","2022-03-12","10+ Miles"
21173,19,"AW00021173","Chad C Yuan","M","M","chad8@adventure-works.com","70000.00","7090 C. Mount Hood","1 (11) 500 555-0115","2020-12-31","10+ Miles"
21174,26,"AW00021174","Andre NULL Smith","M","M","andre8@adventure-works.com","70000.00","470 Laurel","1 (11) 500 555-0137","2022-09-19","10+ Miles"
21175,11,"AW00021175","Armando S Gomez","M","S","armando1@adventure-works.com","80000.00","9683 Pine Valley Road","1 (11) 500 555-0158","2022-07-21","0-1 Miles"
21176,9,"AW00021176","Raul L Chande","M","M","raul12@adventure-works.com","80000.00","938 San Ysidro Court","1 (11) 500 555-0130","2022-01-30","0-1 Miles"
21177,21,"AW00021177","Kara S Nath","F","M","kara16@adventure-works.com","80000.00","3043 Rock Creek Pl.","1 (11) 500 555-0195","2022-08-06","0-1 Miles"
21178,23,"AW00021178","Jillian NULL Saunders","F","M","jillian11@adventure-works.com","80000.00","7443 Sherry Circle","1 (11) 500 555-0119","2022-08-12","0-1 Miles"
21179,20,"AW00021179","Jaclyn C Zhou","F","M","jaclyn9@adventure-works.com","80000.00","879 St. Andrews Way","1 (11) 500 555-0150","2021-01-24","0-1 Miles"
21180,39,"AW00021180","Katherine NULL Flores","F","S","katherine38@adventure-works.com","60000.00","1752 Attic Lane","1 (11) 500 555-0148","2021-01-19","0-1 Miles"
21181,3,"AW00021181","Summer E Sullivan","F","S","summer11@adventure-works.com","60000.00","5603 S. Rising Ave","1 (11) 500 555-0129","2022-09-14","2-5 Miles"
21182,29,"AW00021182","Lori NULL Navarro","F","M","lori12@adventure-works.com","60000.00","4633 Jefferson Street","1 (11) 500 555-0171","2022-12-05","5-10 Miles"
21183,20,"AW00021183","Hector NULL Moreno","M","M","hector4@adventure-works.com","70000.00","1412 San Marino Ct.","1 (11) 500 555-0144","2021-01-05","10+ Miles"
21184,29,"AW00021184","Harold M Rodriguez","M","S","harold16@adventure-works.com","70000.00","4159 Apple Drive","1 (11) 500 555-0180","2022-08-27","5-10 Miles"
21185,16,"AW00021185","Gilbert J Jai","M","M","gilbert32@adventure-works.com","80000.00","1509 Orangewood Ave.","1 (11) 500 555-0158","2022-12-31","1-2 Miles"
21186,20,"AW00021186","Randall Z Vazquez","M","S","randall16@adventure-works.com","70000.00","2168 Terra Calitina","1 (11) 500 555-0144","2022-04-26","5-10 Miles"
21187,16,"AW00021187","Darrell J Luo","M","M","darrell14@adventure-works.com","60000.00","3215 Polson Court","1 (11) 500 555-0127","2022-07-01","0-1 Miles"
21188,32,"AW00021188","Clifford NULL Sanchez","M","M","clifford19@adventure-works.com","60000.00","494 Crown Court","1 (11) 500 555-0195","2022-05-30","5-10 Miles"
21189,21,"AW00021189","Desiree D Rubio","F","M","desiree17@adventure-works.com","60000.00","3727 Withersed Lane","1 (11) 500 555-0113","2021-01-26","5-10 Miles"
21190,22,"AW00021190","Pablo NULL Rovira Diez","M","S","pablo0@adventure-works.com","70000.00","15, rue Descartes","786-555-0100","2022-02-08","5-10 Miles"
21191,14,"AW00021191","Willie NULL Lu","M","M","willie9@adventure-works.com","60000.00","8595 Mariposa Ct","1 (11) 500 555-0130","2021-01-03","0-1 Miles"
21192,11,"AW00021192","Regina NULL Sai","F","M","regina5@adventure-works.com","60000.00","8274 Shady Lane","1 (11) 500 555-0125","2021-01-18","5-10 Miles"
21193,11,"AW00021193","Philip NULL Hernandez","M","M","philip3@adventure-works.com","60000.00","324 Woodbury Place","1 (11) 500 555-0111","2020-12-29","5-10 Miles"
21194,17,"AW00021194","Tara NULL Nara","F","M","tara17@adventure-works.com","60000.00","5518 Baldwin Dr.","1 (11) 500 555-0153","2021-01-25","0-1 Miles"
21195,37,"AW00021195","Rafael N Xu","M","M","rafael28@adventure-works.com","60000.00","1754 Polk Street","1 (11) 500 555-0131","2021-01-13","0-1 Miles"
21196,18,"AW00021196","Kathleen NULL Alonso","F","M","kathleen10@adventure-works.com","60000.00","8425 W. Hookston Road","1 (11) 500 555-0113","2022-08-26","5-10 Miles"
21197,24,"AW00021197","Sheena D Pal","F","S","sheena10@adventure-works.com","60000.00","4399 Price Lane","1 (11) 500 555-0169","2021-01-11","5-10 Miles"
21198,33,"AW00021198","Madison J Williams","F","M","madison2@adventure-works.com","60000.00","921 Ponderosa Way","1 (11) 500 555-0199","2022-10-01","5-10 Miles"
21199,7,"AW00021199","Ruth L Raman","F","S","ruth16@adventure-works.com","60000.00","7959 Driving Drive","1 (11) 500 555-0187","2021-01-05","5-10 Miles"
21200,23,"AW00021200","Alison NULL Kumar","F","S","alison7@adventure-works.com","60000.00","5847 W. Buchanan","1 (11) 500 555-0170","2021-01-01","5-10 Miles"
21201,4,"AW00021201","Anna NULL Rogers","F","S","anna5@adventure-works.com","80000.00","1841 Cape Cod Way","1 (11) 500 555-0197","2021-01-11","1-2 Miles"
21202,34,"AW00021202","Theresa NULL Torres","F","S","theresa8@adventure-works.com","100000.00","2536 El Capitan Lane","1 (11) 500 555-0191","2021-01-27","2-5 Miles"
21203,23,"AW00021203","Mary NULL Allen","F","M","mary36@adventure-works.com","100000.00","8743 Clark Creek Rd.","1 (11) 500 555-0185","2021-01-25","2-5 Miles"
21204,36,"AW00021204","Candice I Lu","F","S","candice17@adventure-works.com","100000.00","7876 Clinton Dr","1 (11) 500 555-0174","2022-09-22","5-10 Miles"
21205,15,"AW00021205","Denise L Vance","F","S","denise6@adventure-works.com","110000.00","5719 A St.","1 (11) 500 555-0116","2021-01-24","1-2 Miles"
21206,30,"AW00021206","Roberto R Moreno","M","S","roberto6@adventure-works.com","60000.00","1371 Vancouver Way","1 (11) 500 555-0153","2020-12-31","5-10 Miles"
21207,25,"AW00021207","Vincent D Li","M","M","vincent3@adventure-works.com","60000.00","1694 Pinole Valley Rd.","1 (11) 500 555-0162","2022-05-25","5-10 Miles"
21208,39,"AW00021208","Olivia NULL Griffin","F","S","olivia66@adventure-works.com","30000.00","8669 Rotherham Dr.","1 (11) 500 555-0181","2022-04-28","5-10 Miles"
21209,23,"AW00021209","Randall F Moreno","M","S","randall7@adventure-works.com","70000.00","5518 San Rafael","1 (11) 500 555-0148","2022-09-07","5-10 Miles"
21210,15,"AW00021210","Colin L Luo","M","S","colin29@adventure-works.com","80000.00","3281 Hillview Dr.","1 (11) 500 555-0170","2022-03-24","1-2 Miles"
21211,4,"AW00021211","Louis E He","M","S","louis13@adventure-works.com","70000.00","486 Lorraine Ave","1 (11) 500 555-0167","2021-01-14","5-10 Miles"
21212,25,"AW00021212","Nicolas D Lal","M","S","nicolas6@adventure-works.com","70000.00","8096 Mt. Washington Way","1 (11) 500 555-0127","2022-02-21","5-10 Miles"
21213,25,"AW00021213","Peter E Black","M","S","peter25@adventure-works.com","70000.00","7848 York Dr.","1 (11) 500 555-0163","2022-10-26","5-10 Miles"
21214,8,"AW00021214","Corey T She","M","S","corey0@adventure-works.com","70000.00","1911 Almond Avenue","1 (11) 500 555-0164","2021-01-19","5-10 Miles"
21215,19,"AW00021215","Tiffany K Yang","F","S","tiffany5@adventure-works.com","70000.00","3403 Rapallo Lane","1 (11) 500 555-0158","2021-01-07","5-10 Miles"
21216,32,"AW00021216","Larry E Blanco","M","S","larry18@adventure-works.com","80000.00","410 Wallace Dr.","1 (11) 500 555-0194","2021-01-08","1-2 Miles"
21217,28,"AW00021217","Casey NULL Xie","F","S","casey3@adventure-works.com","90000.00","3762 Gumwood","1 (11) 500 555-0129","2021-02-18","2-5 Miles"
21218,21,"AW00021218","Wyatt D Rodriguez","M","S","wyatt21@adventure-works.com","70000.00","2525 San Miguel Court","1 (11) 500 555-0133","2021-02-12","5-10 Miles"
21219,34,"AW00021219","Candice S Zhu","F","S","candice20@adventure-works.com","70000.00","5825 Banyan Way","1 (11) 500 555-0144","2021-02-21","5-10 Miles"
21220,17,"AW00021220","Meghan NULL Moyer","F","M","meghan9@adventure-works.com","70000.00","2709 Yellowood Pl.","1 (11) 500 555-0115","2022-03-30","5-10 Miles"
21221,3,"AW00021221","Martin L Sai","M","M","martin11@adventure-works.com","60000.00","8682 Huston Rd","1 (11) 500 555-0190","2022-07-29","5-10 Miles"
21222,22,"AW00021222","Kelvin K Xu","M","M","kelvin2@adventure-works.com","60000.00","2260 Clear Court","1 (11) 500 555-0154","2021-02-15","0-1 Miles"
21223,14,"AW00021223","Evelyn A Suri","F","S","evelyn0@adventure-works.com","70000.00","755 Palm Dr.","1 (11) 500 555-0147","2022-03-25","10+ Miles"
21224,27,"AW00021224","Jamie S Alan","M","M","jamie28@adventure-works.com","90000.00","5492 Hacienda Drive","1 (11) 500 555-0112","2022-10-08","1-2 Miles"
21225,10,"AW00021225","Michele E Jai","F","S","michele11@adventure-works.com","90000.00","4250 Hungry Rd","1 (11) 500 555-0184","2021-02-06","2-5 Miles"
21226,11,"AW00021226","Dale L Nara","M","S","dale14@adventure-works.com","80000.00","7776 Forsman Place","1 (11) 500 555-0167","2021-02-18","0-1 Miles"
21227,21,"AW00021227","Melanie NULL Morgan","F","M","melanie39@adventure-works.com","30000.00","7700 The Alameda","1 (11) 500 555-0169","2022-09-24","5-10 Miles"
21228,32,"AW00021228","Cassidy NULL Henderson","F","M","cassidy5@adventure-works.com","40000.00","253 El Pueblo Place","1 (11) 500 555-0114","2021-02-10","5-10 Miles"
21229,21,"AW00021229","Latoya S Jai","F","S","latoya10@adventure-works.com","40000.00","2294 West 39th St.","1 (11) 500 555-0133","2021-02-27","5-10 Miles"
21230,21,"AW00021230","Carla V Rodriguez","F","M","carla22@adventure-works.com","40000.00","7341 46th St.","1 (11) 500 555-0167","2021-02-06","0-1 Miles"
21231,24,"AW00021231","Christine A Goel","F","M","christine14@adventure-works.com","40000.00","5942 Laurel","1 (11) 500 555-0135","2021-02-24","0-1 Miles"
21232,8,"AW00021232","Levi G Garcia","M","M","levi14@adventure-works.com","10000.00","8291 Serpentine","1 (11) 500 555-0129","2022-12-19","5-10 Miles"
21233,358,"AW00021233","Christopher E Smith","M","M","christopher24@adventure-works.com","30000.00","6030 Dubne Court","140-555-0128","2022-04-04","0-1 Miles"
21234,312,"AW00021234","Brianna A Rivera","F","S","brianna34@adventure-works.com","30000.00","1061 Buskrik Avenue","149-555-0123","2022-02-18","5-10 Miles"
21235,298,"AW00021235","Stephanie V Hernandez","F","S","stephanie63@adventure-works.com","40000.00","5435 Greenwood Place","530-555-0183","2022-09-17","0-1 Miles"
21236,632,"AW00021236","Adrian J Peterson","M","S","adrian7@adventure-works.com","40000.00","2098 Chilpancingo Pkwy.","362-555-0181","2022-08-25","5-10 Miles"
21237,345,"AW00021237","Luke NULL Washington","M","M","luke2@adventure-works.com","30000.00","4628 Mountain View Place","220-555-0193","2022-08-12","5-10 Miles"
21238,49,"AW00021238","Carl NULL Tang","M","S","carl4@adventure-works.com","30000.00","516 Oak Park Blvd.","386-555-0142","2022-04-03","0-1 Miles"
21239,30,"AW00021239","Christy I Liang","F","M","christy15@adventure-works.com","30000.00","458 Arlington Way","1 (11) 500 555-0121","2022-06-30","0-1 Miles"
21240,374,"AW00021240","Aaron NULL Jenkins","M","S","aaron6@adventure-works.com","30000.00","4634 Hilltop Rd","553-555-0149","2022-03-20","5-10 Miles"
21241,553,"AW00021241","Carson L Griffin","M","S","carson20@adventure-works.com","30000.00","8935 Etcheverry Dr.","956-555-0173","2022-05-10","5-10 Miles"
21242,358,"AW00021242","Morgan M Patterson","F","S","morgan80@adventure-works.com","30000.00","1692 Detroit Ave","236-555-0184","2022-03-12","5-10 Miles"
21243,374,"AW00021243","Juan M Bailey","M","M","juan26@adventure-works.com","40000.00","8643 B Way","614-555-0183","2022-08-06","0-1 Miles"
21244,325,"AW00021244","Allison E Torres","F","M","allison12@adventure-works.com","40000.00","Rt. 1546 Box A","496-555-0110","2022-06-04","5-10 Miles"
21245,338,"AW00021245","Samantha E Rodriguez","F","M","samantha21@adventure-works.com","40000.00","8882 San Remo Ct.","178-555-0164","2022-06-22","0-1 Miles"
21246,301,"AW00021246","Samuel NULL Nelson","M","S","samuel39@adventure-works.com","40000.00","8964 Woodchuck Pl.","688-555-0117","2022-09-17","0-1 Miles"
21247,638,"AW00021247","Alex E Sanders","M","M","alex6@adventure-works.com","40000.00","2338 Mozden Lane","772-555-0161","2022-10-04","5-10 Miles"
21248,23,"AW00021248","Ramon NULL Li","M","M","ramon2@adventure-works.com","40000.00","2701 Piedmont Dr","1 (11) 500 555-0117","2022-08-10","5-10 Miles"
21249,526,"AW00021249","Alvin NULL Xu","M","S","alvin27@adventure-works.com","40000.00","9089 San Jose Ave","948-555-0160","2022-11-26","0-1 Miles"
21250,543,"AW00021250","Fernando E Coleman","M","M","fernando49@adventure-works.com","40000.00","5284 Dumbarton Dr.","222-555-0115","2022-04-24","5-10 Miles"
21251,49,"AW00021251","Erika C Dominguez","F","S","erika10@adventure-works.com","30000.00","1511 Roxbury Drive","218-555-0143","2022-07-08","5-10 Miles"
21252,53,"AW00021252","Luis G Chen","M","S","luis25@adventure-works.com","30000.00","3312 Tanager Court","743-555-0148","2022-02-10","5-10 Miles"
21253,616,"AW00021253","Victoria NULL Williams","F","S","victoria3@adventure-works.com","40000.00","5280 Pelican Loop","601-555-0122","2022-09-24","0-1 Miles"
21254,34,"AW00021254","Tonya M Black","F","M","tonya20@adventure-works.com","30000.00","3101 Greendell Rd","1 (11) 500 555-0134","2022-02-11","5-10 Miles"
21255,32,"AW00021255","Martha R Lu","F","M","martha11@adventure-works.com","60000.00","5536 Yolanda Circle","1 (11) 500 555-0118","2022-03-08","0-1 Miles"
21256,6,"AW00021256","Meghan I Torres","F","M","meghan11@adventure-works.com","40000.00","5531 Roxbury Drive","1 (11) 500 555-0176","2021-02-16","0-1 Miles"
21257,26,"AW00021257","Evelyn S Subram","F","M","evelyn14@adventure-works.com","40000.00","5346 Clayburn Road","1 (11) 500 555-0147","2021-02-01","0-1 Miles"
21258,8,"AW00021258","Alfredo NULL Serrano","M","S","alfredo17@adventure-works.com","40000.00","1242 Ridgewood Ct.","1 (11) 500 555-0119","2021-02-04","5-10 Miles"
21259,19,"AW00021259","Curtis NULL Cai","M","S","curtis18@adventure-works.com","60000.00","739 Rancho View Dr.","1 (11) 500 555-0182","2021-02-07","5-10 Miles"
21260,632,"AW00021260","Ariana A Howard","F","S","ariana10@adventure-works.com","40000.00","3159 Lime Ridge Drive","338-555-0190","2022-09-27","5-10 Miles"
21261,368,"AW00021261","Jessica NULL Kelly","F","S","jessica23@adventure-works.com","40000.00","5203 Foothill Way","651-555-0168","2022-04-19","5-10 Miles"
21262,372,"AW00021262","Sara R Edwards","F","S","sara26@adventure-works.com","40000.00","8168 Landover Lane","941-555-0150","2022-12-06","1-2 Miles"
21263,49,"AW00021263","Gail L Russell","F","S","gail6@adventure-works.com","40000.00","6085 B Wildbrook Ct.","334-555-0170","2022-06-06","5-10 Miles"
21264,634,"AW00021264","Caleb NULL Butler","M","S","caleb11@adventure-works.com","60000.00","2537 I St.","294-555-0181","2022-09-11","5-10 Miles"
21265,302,"AW00021265","Richard D Stone","M","S","richard102@adventure-works.com","70000.00","495 Saddlehill Lane","102-555-0145","2022-09-04","5-10 Miles"
21266,54,"AW00021266","Taylor NULL Washington","F","S","taylor38@adventure-works.com","80000.00","2679 Eagle Peak","170-555-0113","2021-08-05","1-2 Miles"
21267,632,"AW00021267","Charles NULL Parker","M","M","charles43@adventure-works.com","80000.00","617 Sweeney Road","266-555-0118","2022-09-07","1-2 Miles"
21268,302,"AW00021268","Elizabeth S Lewis","F","M","elizabeth25@adventure-works.com","80000.00","3067 Maureen Circle","561-555-0163","2022-10-07","1-2 Miles"
21269,299,"AW00021269","Blake NULL Clark","M","S","blake19@adventure-works.com","90000.00","5263 Etcheverry Dr","854-555-0186","2022-10-06","1-2 Miles"
21270,637,"AW00021270","Daniel NULL Jackson","M","S","daniel16@adventure-works.com","110000.00","6244 Bayviews Circle","243-555-0142","2022-07-06","5-10 Miles"
21271,348,"AW00021271","Thomas NULL Wang","M","M","thomas27@adventure-works.com","120000.00","3944 Kingsford Dr","696-555-0143","2022-10-17","0-1 Miles"
21272,60,"AW00021272","Nicole L Ward","F","S","nicole39@adventure-works.com","90000.00","7681 Hillcrest","408-555-0113","2021-08-09","1-2 Miles"
21273,631,"AW00021273","Jennifer NULL Thomas","F","M","jennifer39@adventure-works.com","100000.00","8996 Carson","562-555-0183","2022-07-21","1-2 Miles"
21274,347,"AW00021274","Seth NULL Scott","M","S","seth31@adventure-works.com","60000.00","2785 Fallbrook Road","163-555-0142","2022-09-14","5-10 Miles"
21275,347,"AW00021275","Abigail NULL Cox","F","M","abigail15@adventure-works.com","60000.00","8158 Pheasant Court","255-555-0148","2022-10-16","5-10 Miles"
21276,53,"AW00021276","Ian NULL Coleman","M","M","ian46@adventure-works.com","40000.00","2989 Pepperidge Way","849-555-0134","2022-10-12","5-10 Miles"
21277,64,"AW00021277","Lucas O Thompson","M","S","lucas29@adventure-works.com","40000.00","8267 Lavene Way","932-555-0197","2022-10-12","5-10 Miles"
21278,536,"AW00021278","Julia C King","F","S","julia16@adventure-works.com","40000.00","833 Sepueveda Court","675-555-0156","2022-12-30","5-10 Miles"
21279,37,"AW00021279","Linda R. Rousey","F","M","linda10@adventure-works.com","10000.00","5966 Sepulveda Ct.","369-555-0100","2022-08-01","5-10 Miles"
21280,612,"AW00021280","Justin J Walker","M","S","justin51@adventure-works.com","40000.00","6488 Taylor Box #229","136-555-0192","2022-12-10","1-2 Miles"
21281,307,"AW00021281","Andrea NULL Hill","F","S","andrea35@adventure-works.com","60000.00","2651 St. Francis Dr.","979-555-0144","2022-10-28","1-2 Miles"
21282,322,"AW00021282","Julia NULL Smith","F","M","julia22@adventure-works.com","60000.00","157 Birch Bark Road","420-555-0153","2022-10-09","5-10 Miles"
21283,27,"AW00021283","Orlando M Jiménez","M","M","orlando6@adventure-works.com","20000.00","1742 Breck Court","1 (11) 500 555-0195","2022-04-14","5-10 Miles"
21284,65,"AW00021284","Cody A Stewart","M","M","cody22@adventure-works.com","50000.00","9848 Angi Lane","605-555-0110","2021-08-06","0-1 Miles"
21285,539,"AW00021285","Mackenzie NULL Rivera","F","M","mackenzie15@adventure-works.com","90000.00","5302 Argonne Drive","514-555-0118","2022-05-16","10+ Miles"
21286,300,"AW00021286","Luke J. Roy","M","S","luke0@adventure-works.com","100000.00","8625 Woodcrest Drive","583-555-0100","2022-11-15","5-10 Miles"
21287,307,"AW00021287","Kendra NULL Jimenez","F","M","kendra5@adventure-works.com","110000.00","9966 Vallet Crest Dr.","128-555-0189","2022-08-15","5-10 Miles"
21288,352,"AW00021288","Hunter NULL Hall","M","S","hunter58@adventure-works.com","130000.00","7724 Hale Court","366-555-0178","2022-04-27","1-2 Miles"
21289,612,"AW00021289","Warren A Wang","M","S","warren18@adventure-works.com","90000.00","4018 St Francis St.","865-555-0123","2022-11-12","5-10 Miles"
21290,542,"AW00021290","Angel NULL Torres","M","S","angel3@adventure-works.com","100000.00","2469 Maureen Lane","116-555-0158","2022-11-17","1-2 Miles"
21291,626,"AW00021291","Rachel C Morris","F","M","rachel29@adventure-works.com","100000.00","3635 N Ridgewood Drive","569-555-0191","2022-12-19","5-10 Miles"
21292,552,"AW00021292","Austin NULL Martinez","M","M","austin33@adventure-works.com","100000.00","1858 Liscome Way","343-555-0117","2022-09-02","1-2 Miles"
21293,311,"AW00021293","Ashley NULL Garcia","F","S","ashley17@adventure-works.com","120000.00","2080 Wesley Court","773-555-0126","2022-12-17","5-10 Miles"
21294,355,"AW00021294","David A Foster","M","M","david49@adventure-works.com","130000.00","8229 Crawford Street","693-555-0119","2022-04-12","0-1 Miles"
21295,54,"AW00021295","Benjamin J Thomas","M","M","benjamin45@adventure-works.com","70000.00","6101 Mike Yorba Way","445-555-0142","2022-11-08","5-10 Miles"
21296,607,"AW00021296","Luis L Hall","M","M","luis53@adventure-works.com","80000.00","3365 Wintergreen Court","432-555-0152","2023-01-16","1-2 Miles"
21297,542,"AW00021297","Melanie L Murphy","F","S","melanie41@adventure-works.com","90000.00","5308 Logan Court","127-555-0152","2022-12-16","5-10 Miles"
21298,543,"AW00021298","Noah NULL Collins","M","M","noah29@adventure-works.com","90000.00","7194 Rosina Court","605-555-0133","2022-03-26","1-2 Miles"
21299,627,"AW00021299","Hannah NULL Gonzales","F","M","hannah38@adventure-works.com","90000.00","3287 Trees Dr.","239-555-0156","2022-03-03","5-10 Miles"
21300,322,"AW00021300","Kaylee NULL Morgan","F","M","kaylee19@adventure-works.com","130000.00","9716 Aloe Vera Rd.","680-555-0155","2022-01-14","0-1 Miles"
21301,539,"AW00021301","Sierra NULL Gonzalez","F","S","sierra8@adventure-works.com","80000.00","1850 Lancelot Drive","919-555-0163","2023-01-19","1-2 Miles"
21302,545,"AW00021302","Logan F Foster","M","M","logan17@adventure-works.com","80000.00","6451 Grand Drive","284-555-0198","2022-05-22","5-10 Miles"
21303,374,"AW00021303","Sydney L Jenkins","F","M","sydney29@adventure-works.com","60000.00","7521 Mount Aire Parkway","334-555-0156","2022-07-28","5-10 Miles"
21304,618,"AW00021304","Jada NULL Cooper","F","M","jada9@adventure-works.com","60000.00","6721 High Maple Court","326-555-0194","2022-05-22","5-10 Miles"
21305,65,"AW00021305","Hunter J Garcia","M","M","hunter48@adventure-works.com","60000.00","6901 Hamilton Avenue","284-555-0113","2021-08-15","1-2 Miles"
21306,51,"AW00021306","Jackson J Perry","M","S","jackson10@adventure-works.com","60000.00","4873 St Francis St","591-555-0131","2022-12-05","5-10 Miles"
21307,316,"AW00021307","Olivia A Jones","F","M","olivia3@adventure-works.com","70000.00","8796 Kentucky Dr.","207-555-0146","2022-03-30","1-2 Miles"
21308,66,"AW00021308","Kayla L Garcia","F","M","kayla17@adventure-works.com","70000.00","1907 Galveston Ct.","545-555-0149","2022-12-09","5-10 Miles"
21309,361,"AW00021309","Julia NULL Anderson","F","M","julia32@adventure-works.com","80000.00","1093 Gatter Court","986-555-0182","2022-02-09","1-2 Miles"
21310,338,"AW00021310","Mariah L Hayes","F","M","mariah27@adventure-works.com","90000.00","9941 Roanwood Way","647-555-0141","2022-03-02","10+ Miles"
21311,62,"AW00021311","Jennifer E Ramirez","F","S","jennifer69@adventure-works.com","90000.00","7556 Garcia Ranch Road","626-555-0164","2021-08-09","10+ Miles"
21312,543,"AW00021312","Connor R Scott","M","M","connor42@adventure-works.com","50000.00","273 Oak Street","665-555-0124","2022-07-30","1-2 Miles"
21313,307,"AW00021313","Beth P Diaz","F","M","beth5@adventure-works.com","70000.00","4381 Amazonas","984-555-0137","2022-05-20","1-2 Miles"
21314,638,"AW00021314","Devin E Patterson","M","M","devin49@adventure-works.com","60000.00","1112 Roehlidge Lane","348-555-0137","2022-12-26","1-2 Miles"
21315,301,"AW00021315","Audrey NULL Sanz","F","M","audrey22@adventure-works.com","70000.00","9610 Hudson Ave","216-555-0178","2022-06-12","1-2 Miles"
21316,358,"AW00021316","John I Thompson","M","M","john53@adventure-works.com","130000.00","9135 Rockford Dr.","358-555-0167","2022-10-13","2-5 Miles"
21317,359,"AW00021317","Lauren C Rivera","F","M","lauren8@adventure-works.com","130000.00","6158 May Way","441-555-0151","2022-06-24","0-1 Miles"
21318,51,"AW00021318","Devin G Richardson","M","S","devin77@adventure-works.com","80000.00","4998 Prestwick Ave.","202-555-0149","2022-09-28","1-2 Miles"
21319,609,"AW00021319","Zachary C Lee","M","M","zachary29@adventure-works.com","90000.00","1058 Miwok Way","441-555-0151","2022-11-28","5-10 Miles"
21320,609,"AW00021320","Hannah L Coleman","F","M","hannah29@adventure-works.com","90000.00","6104 Lakewood Court","160-555-0174","2022-09-16","5-10 Miles"
21321,612,"AW00021321","Jon NULL Jai","M","S","jon7@adventure-works.com","90000.00","3473 Flagstone Way","269-555-0152","2022-03-15","1-2 Miles"
21322,543,"AW00021322","Carlos M Ramirez","M","M","carlos8@adventure-works.com","90000.00","2697 Talbart Street","583-555-0195","2022-08-21","1-2 Miles"
21323,632,"AW00021323","Robert NULL Jackson","M","M","robert70@adventure-works.com","100000.00","706 Petarct","986-555-0175","2022-06-19","5-10 Miles"
21324,300,"AW00021324","Chloe NULL Baker","F","M","chloe14@adventure-works.com","110000.00","8225 Shakespeare Dr.","819-555-0175","2022-04-20","2-5 Miles"
21325,316,"AW00021325","Angela NULL Hayes","F","M","angela25@adventure-works.com","120000.00","8273 Glacier Drive","848-555-0112","2022-04-24","2-5 Miles"
21326,355,"AW00021326","Andrea NULL Green","F","M","andrea36@adventure-works.com","160000.00","1760 Lisa Lee Lane","467-555-0178","2022-06-17","2-5 Miles"
21327,374,"AW00021327","Connor NULL Washington","M","S","connor8@adventure-works.com","170000.00","5665 Las Lomas Way","360-555-0110","2022-06-20","0-1 Miles"
21328,348,"AW00021328","Xavier NULL Nelson","M","S","xavier32@adventure-works.com","70000.00","9970 San Miguel Rd","258-555-0128","2022-07-08","1-2 Miles"
21329,355,"AW00021329","Wyatt NULL Brown","M","M","wyatt4@adventure-works.com","60000.00","7820 Bird Drive","774-555-0118","2022-10-11","5-10 Miles"
21330,355,"AW00021330","Isabella NULL Clark","F","S","isabella75@adventure-works.com","60000.00","5073 Clymer Ct.","283-555-0130","2022-10-17","5-10 Miles"
21331,54,"AW00021331","Timothy NULL James","M","S","timothy9@adventure-works.com","60000.00","4797 Sea Point Way","811-555-0154","2021-08-03","5-10 Miles"
21332,51,"AW00021332","Bailey NULL Carter","F","M","bailey30@adventure-works.com","60000.00","6081 Westminster Pl.","513-555-0117","2021-08-23","1-2 Miles"
21333,553,"AW00021333","Mackenzie NULL Allen","F","M","mackenzie44@adventure-works.com","70000.00","204 Heathrow Court","137-555-0131","2022-07-10","5-10 Miles"
21334,338,"AW00021334","Mason NULL Nelson","M","S","mason30@adventure-works.com","70000.00","2071 Babbe Street","950-555-0111","2022-08-04","5-10 Miles"
21335,612,"AW00021335","Ana L Coleman","F","M","ana6@adventure-works.com","70000.00","1833 Benton Street","127-555-0151","2022-08-04","5-10 Miles"
21336,51,"AW00021336","Angel S Perez","M","M","angel25@adventure-works.com","60000.00","322 Market Pl.","181-555-0187","2021-09-13","5-10 Miles"
21337,609,"AW00021337","Jennifer A Smith","F","S","jennifer28@adventure-works.com","40000.00","1347 L St.","119-555-0167","2022-08-20","5-10 Miles"
21338,299,"AW00021338","Victoria A Price","F","M","victoria48@adventure-works.com","40000.00","9344 Stony Hill Circle","808-555-0135","2022-08-13","5-10 Miles"
21339,70,"AW00021339","Haley J Barnes","F","S","haley22@adventure-works.com","60000.00","9736 Colorado Dr.","350-555-0153","2022-02-03","1-2 Miles"
21340,641,"AW00021340","Adam L Wang","M","M","adam21@adventure-works.com","60000.00","7575 Brown Dr","553-555-0117","2022-05-09","10+ Miles"
21341,311,"AW00021341","Louis C Liu","M","M","louis42@adventure-works.com","60000.00","8024 Azores Court","493-555-0141","2023-01-07","1-2 Miles"
21342,300,"AW00021342","Tonya S Xie","F","M","tonya3@adventure-works.com","70000.00","5886 Book Rd","966-555-0151","2022-08-07","1-2 Miles"
21343,301,"AW00021343","Colin NULL Zeng","M","M","colin22@adventure-works.com","70000.00","6154 Cleveland Rd","583-555-0197","2022-08-30","10+ Miles"
