"customerkey","geographykey","customername","englisheducation","commutedistance","geography_key","city","stateprovincename","countryname"
21540,255,"Ross Rubio","Bachelors","0-1 Miles",255,"London","England","United Kingdom"
21541,265,"Daisy Gutierrez","Partial College","10+ Miles",265,"Peterborough","England","United Kingdom"
21542,220,"Patricia Vance","Partial High School","5-10 Miles",220,"Bobigny","Seine Saint Denis","France"
21543,211,"Naomi Romero","High School","10+ Miles",211,"Les Ulis","Essonne","France"
21544,240,"Gary Moreno","High School","10+ Miles",240,"High Wycombe","England","United Kingdom"
21545,277,"Michele Schmidt","High School","0-1 Miles",277,"York","England","United Kingdom"
21546,155,"Cory Garcia","Partial High School","10+ Miles",155,"Bottrop","Nordrhein-Westfalen","Germany"
21547,238,"Brad Raje","High School","10+ Miles",238,"Gateshead","England","United Kingdom"
21548,254,"Christy Chander","High School","10+ Miles",254,"London","England","United Kingdom"
21549,126,"Jerome Ruiz","High School","10+ Miles",126,"Berlin","Hessen","Germany"
21550,163,"Kara Deng","High School","5-10 Miles",163,"Berlin","Saarland","Germany"
21551,39,"Elijah Butler","Bachelors","2-5 Miles",39,"Sunbury","Victoria","Australia"
21552,20,"Francis Alvarez","Bachelors","10+ Miles",20,"Brisbane","Queensland","Australia"
21553,27,"Allen Suri","Bachelors","10+ Miles",27,"Townsville","Queensland","Australia"
21554,4,"Molly Rana","Bachelors","10+ Miles",4,"Goulburn","New South Wales","Australia"
21555,35,"Jarrod Madan","Bachelors","10+ Miles",35,"Melbourne","Victoria","Australia"
21556,15,"Gloria Serrano","Bachelors","10+ Miles",15,"Silverwater","New South Wales","Australia"
21557,6,"Kate Lal","Partial College","10+ Miles",6,"Lavender Bay","New South Wales","Australia"
21558,4,"Nicole Coleman","High School","10+ Miles",4,"Goulburn","New South Wales","Australia"
21559,26,"Pedro Malhotra","High School","10+ Miles",26,"Rockhampton","Queensland","Australia"
21560,35,"Kristopher Lopez","Partial High School","10+ Miles",35,"Melbourne","Victoria","Australia"
21561,8,"Albert Navarro","Bachelors","10+ Miles",8,"Matraville","New South Wales","Australia"
21562,3,"Drew Jai","High School","10+ Miles",3,"Darlinghurst","New South Wales","Australia"
21563,24,"Carla Mehta","Bachelors","10+ Miles",24,"Hawthorne","Queensland","Australia"
21564,27,"Erica Liu","Bachelors","10+ Miles",27,"Townsville","Queensland","Australia"
21565,21,"Sheena Shan","High School","10+ Miles",21,"Caloundra","Queensland","Australia"
21566,22,"Jermaine Garcia","High School","10+ Miles",22,"East Brisbane","Queensland","Australia"
21567,18,"Candace Sanchez","High School","10+ Miles",18,"Sydney","New South Wales","Australia"
21568,23,"Jacquelyn Hernandez","High School","10+ Miles",23,"Gold Coast","Queensland","Australia"
21569,5,"Brendan Rai","Bachelors","10+ Miles",5,"Lane Cove","New South Wales","Australia"
21570,11,"Barry Kovár","High School","10+ Miles",11,"North Ryde","New South Wales","Australia"
21571,8,"Darryl Yang","High School","10+ Miles",8,"Matraville","New South Wales","Australia"
21572,7,"Randall Ramos","Bachelors","0-1 Miles",7,"Malabar","New South Wales","Australia"
21573,14,"Jimmy Munoz","Bachelors","0-1 Miles",14,"Rhodes","New South Wales","Australia"
21574,638,"Fernando Lewis","Partial College","0-1 Miles",638,"Sedro Woolley","Washington","United States"
21575,322,"Justin Foster","Partial College","2-5 Miles",322,"Fremont","California","United States"
21576,546,"Benjamin Gonzales","Partial College","2-5 Miles",546,"Oregon City","Oregon","United States"
21577,49,"Tiffany Ma","Graduate Degree","5-10 Miles",49,"Cliffside","British Columbia","Canada"
21578,642,"Jordan Green","Graduate Degree","5-10 Miles",642,"Tacoma","Washington","United States"
21579,553,"Wyatt Jackson","Graduate Degree","5-10 Miles",553,"Woodburn","Oregon","United States"
21580,52,"Mariah Ward","Partial College","2-5 Miles",52,"Langley","British Columbia","Canada"
21581,71,"Rachel Russell","Partial College","0-1 Miles",71,"Westminster","British Columbia","Canada"
21582,49,"Amber Roberts","Graduate Degree","0-1 Miles",49,"Cliffside","British Columbia","Canada"
21583,653,"Jaclyn Lal","Bachelors","0-1 Miles",653,"Casper","Wyoming","United States"
21584,616,"Gavin Bryant","Bachelors","2-5 Miles",616,"Everett","Washington","United States"
21585,543,"Trinity Gray","Bachelors","2-5 Miles",543,"Lebanon","Oregon","United States"
21586,552,"Stephanie Foster","Graduate Degree","2-5 Miles",552,"W. Linn","Oregon","United States"
21587,298,"Jenna Roberts","Graduate Degree","2-5 Miles",298,"Bellflower","California","United States"
21588,301,"Theodore Martin","Graduate Degree","2-5 Miles",301,"Burbank","California","United States"
21589,60,"Vanessa Coleman","Bachelors","2-5 Miles",60,"Port Hammond","British Columbia","Canada"
21590,609,"Taylor Gonzales","Bachelors","2-5 Miles",609,"Bellingham","Washington","United States"
21591,310,"Clayton Goel","Bachelors","0-1 Miles",310,"Colma","California","United States"
21592,623,"Christina Reed","Bachelors","0-1 Miles",623,"Kirkland","Washington","United States"
21593,301,"Marcus Roberts","Bachelors","0-1 Miles",301,"Burbank","California","United States"
21594,322,"Brianna Moore","Bachelors","0-1 Miles",322,"Fremont","California","United States"
21595,54,"Juan Ward","Graduate Degree","2-5 Miles",54,"N. Vancouver","British Columbia","Canada"
21596,553,"Luke Wright","Graduate Degree","0-1 Miles",553,"Woodburn","Oregon","United States"
21597,312,"Jose Jones","Graduate Degree","0-1 Miles",312,"Coronado","California","United States"
21598,648,"Chloe Perez","Graduate Degree","0-1 Miles",648,"Yakima","Washington","United States"
21599,548,"Sara Lopez","Graduate Degree","2-5 Miles",548,"Salem","Oregon","United States"
21600,368,"Alexa Bell","Bachelors","2-5 Miles",368,"Santa Cruz","California","United States"
21601,360,"Jacqueline Bell","Bachelors","2-5 Miles",360,"San Francisco","California","United States"
21602,612,"Manuel Malhotra","Bachelors","2-5 Miles",612,"Burien","Washington","United States"
21603,609,"Seth Barnes","Bachelors","0-1 Miles",609,"Bellingham","Washington","United States"
21604,315,"Melanie Howard","Bachelors","2-5 Miles",315,"Downey","California","United States"
21605,612,"Brittney Ye","Graduate Degree","0-1 Miles",612,"Burien","Washington","United States"
21606,614,"Connor Roberts","Graduate Degree","0-1 Miles",614,"Edmonds","Washington","United States"
21607,614,"Bryce Torres","Graduate Degree","2-5 Miles",614,"Edmonds","Washington","United States"
21608,634,"David Griffin","Graduate Degree","2-5 Miles",634,"Redmond","Washington","United States"
21609,307,"Tabitha Blanco","Graduate Degree","2-5 Miles",307,"Chula Vista","California","United States"
21610,322,"Caleb Edwards","Graduate Degree","2-5 Miles",322,"Fremont","California","United States"
21611,385,"Ethan Wilson","Graduate Degree","0-1 Miles",385,"Woodland Hills","California","United States"
21612,548,"Spencer Foster","Bachelors","0-1 Miles",548,"Salem","Oregon","United States"
21613,57,"Caleb Powell","Bachelors","0-1 Miles",57,"Newton","British Columbia","Canada"
21614,49,"William Thomas","Bachelors","0-1 Miles",49,"Cliffside","British Columbia","Canada"
21615,311,"Grace Torres","Bachelors","0-1 Miles",311,"Concord","California","United States"
21616,612,"Carson Wood","Graduate Degree","2-5 Miles",612,"Burien","Washington","United States"
21617,539,"Jennifer Miller","Graduate Degree","0-1 Miles",539,"Corvallis","Oregon","United States"
21618,54,"Elijah Carter","Graduate Degree","2-5 Miles",54,"N. Vancouver","British Columbia","Canada"
21619,385,"Angela Patterson","Graduate Degree","2-5 Miles",385,"Woodland Hills","California","United States"
21620,50,"Mariah Brooks","Graduate Degree","0-1 Miles",50,"Haney","British Columbia","Canada"
21621,54,"Jordan Parker","Graduate Degree","2-5 Miles",54,"N. Vancouver","British Columbia","Canada"
21622,59,"Ethan Winston","Graduate Degree","2-5 Miles",59,"Oak Bay","British Columbia","Canada"
21623,632,"Connor Diaz","Graduate Degree","2-5 Miles",632,"Port Orchard","Washington","United States"
21624,642,"Faith Price","Graduate Degree","2-5 Miles",642,"Tacoma","Washington","United States"
21625,553,"Jennifer Hall","Graduate Degree","2-5 Miles",553,"Woodburn","Oregon","United States"
21626,648,"Brianna Garcia","Graduate Degree","0-1 Miles",648,"Yakima","Washington","United States"
21627,302,"Bailey Roberts","Graduate Degree","2-5 Miles",302,"Burlingame","California","United States"
21628,612,"Kelli Xu","Bachelors","2-5 Miles",612,"Burien","Washington","United States"
21629,52,"Thomas Thomas","Bachelors","0-1 Miles",52,"Langley","British Columbia","Canada"
21630,627,"Faith Jenkins","Bachelors","2-5 Miles",627,"Marysville","Washington","United States"
21631,49,"Martin Sanchez","Bachelors","10+ Miles",49,"Cliffside","British Columbia","Canada"
21632,312,"Jaclyn Liang","Bachelors","10+ Miles",312,"Coronado","California","United States"
21633,633,"Cameron Zhang","Bachelors","10+ Miles",633,"Puyallup","Washington","United States"
21634,614,"Arianna Cook","Bachelors","10+ Miles",614,"Edmonds","Washington","United States"
21635,352,"Christian Lewis","Bachelors","10+ Miles",352,"Palo Alto","California","United States"
21636,385,"Katherine Rivera","Bachelors","10+ Miles",385,"Woodland Hills","California","United States"
21637,359,"Richard Lewis","Bachelors","2-5 Miles",359,"San Diego","California","United States"
21638,539,"Olivia Harris","Bachelors","2-5 Miles",539,"Corvallis","Oregon","United States"
21639,612,"Anthony Wilson","Bachelors","10+ Miles",612,"Burien","Washington","United States"
21640,314,"Charles Cooper","Bachelors","2-5 Miles",314,"Daly City","California","United States"
21641,314,"Kaylee Perez","Bachelors","2-5 Miles",314,"Daly City","California","United States"
21642,59,"Alexandra Rodriguez","Bachelors","2-5 Miles",59,"Oak Bay","British Columbia","Canada"
21643,311,"Wyatt Diaz","Bachelors","2-5 Miles",311,"Concord","California","United States"
21644,383,"Sydney Howard","Bachelors","2-5 Miles",383,"West Covina","California","United States"
21645,644,"Spencer Alexander","Bachelors","0-1 Miles",644,"Walla Walla","Washington","United States"
21646,335,"Luis Bryant","Bachelors","0-1 Miles",335,"Lemon Grove","California","United States"
21647,611,"Blake Brown","Bachelors","2-5 Miles",611,"Bremerton","Washington","United States"
21648,301,"Ronnie Sun","Bachelors","2-5 Miles",301,"Burbank","California","United States"
21649,311,"Keith Nara","Bachelors","2-5 Miles",311,"Concord","California","United States"
21650,312,"Cedric Zeng","Bachelors","2-5 Miles",312,"Coronado","California","United States"
21652,68,"Julia Bell","Bachelors","2-5 Miles",68,"Vancouver","British Columbia","Canada"
21653,361,"Jose Anderson","Bachelors","2-5 Miles",361,"San Gabriel","California","United States"
21654,329,"Aidan Barnes","Bachelors","2-5 Miles",329,"Imperial Beach","California","United States"
21655,56,"Zachary Bryant","Bachelors","2-5 Miles",56,"Newton","British Columbia","Canada"
21656,69,"Hannah Hayes","Bachelors","0-1 Miles",69,"Victoria","British Columbia","Canada"
21657,609,"Sara Green","Bachelors","2-5 Miles",609,"Bellingham","Washington","United States"
21658,68,"Jocelyn Powell","Graduate Degree","2-5 Miles",68,"Vancouver","British Columbia","Canada"
21659,50,"Gabrielle Jenkins","Graduate Degree","2-5 Miles",50,"Haney","British Columbia","Canada"
21660,339,"Allison Watson","Graduate Degree","2-5 Miles",339,"Mill Valley","California","United States"
21661,163,"Terry Champion","High School","1-2 Miles",163,"Berlin","Saarland","Germany"
21662,206,"Orlando Muñoz","Partial High School","1-2 Miles",206,"Roissy en Brie","Seine et Marne","France"
21663,177,"Kenneth Goel","Partial High School","0-1 Miles",177,"Stuttgart","Saarland","Germany"
21664,189,"Edwin Yuan","Partial High School","1-2 Miles",189,"Roubaix","Nord","France"
21665,180,"Karl Jai","High School","1-2 Miles",180,"Colomiers","Garonne (Haute)","France"
21666,153,"Leslie Jimenez","Bachelors","0-1 Miles",153,"Berlin","Nordrhein-Westfalen","Germany"
21667,159,"Crystal Zhang","Bachelors","1-2 Miles",159,"München","Nordrhein-Westfalen","Germany"
21668,234,"Christina Rogers","Bachelors","0-1 Miles",234,"Bury","England","United Kingdom"
21669,236,"Jessica Rodriguez","Bachelors","1-2 Miles",236,"Cheltenham","England","United Kingdom"
21670,187,"Benjamin Lal","Partial High School","1-2 Miles",187,"Lille","Nord","France"
21671,189,"Nicolas Jai","High School","2-5 Miles",189,"Roubaix","Nord","France"
21672,166,"Craig Gomez","High School","2-5 Miles",166,"Frankfurt am Main","Saarland","Germany"
21673,196,"Jésus Gill","High School","1-2 Miles",196,"Paris","Seine (Paris)","France"
21674,155,"Jada Morris","Partial High School","0-1 Miles",155,"Bottrop","Nordrhein-Westfalen","Germany"
21675,202,"Adriana Rana","Partial High School","0-1 Miles",202,"Paris","Seine (Paris)","France"
21676,219,"Valerie Guo","Partial High School","1-2 Miles",219,"Suresnes","Hauts de Seine","France"
21677,220,"Cedric Chander","Partial High School","1-2 Miles",220,"Bobigny","Seine Saint Denis","France"
21678,260,"Alvin Tang","Partial High School","0-1 Miles",260,"Milton Keynes","England","United Kingdom"
21679,230,"Drew Yuan","High School","2-5 Miles",230,"Berkshire","England","United Kingdom"
21680,135,"Ricky Torres","High School","2-5 Miles",135,"Salzgitter","Hessen","Germany"
21681,157,"Casey Ortega","Partial College","1-2 Miles",157,"Hannover","Nordrhein-Westfalen","Germany"
21682,234,"Katrina Goel","Partial College","1-2 Miles",234,"Bury","England","United Kingdom"
21683,279,"Henry Suri","Partial College","0-1 Miles",279,"York","England","United Kingdom"
21684,189,"Mariah Bennett","Partial High School","1-2 Miles",189,"Roubaix","Nord","France"
21685,632,"Bailey Green","Partial College","1-2 Miles",632,"Port Orchard","Washington","United States"
21686,302,"Albert Ortega","Partial College","0-1 Miles",302,"Burlingame","California","United States"
21687,316,"Sarah Brown","Graduate Degree","0-1 Miles",316,"El Cajon","California","United States"
21688,361,"Jesse Morris","Graduate Degree","1-2 Miles",361,"San Gabriel","California","United States"
21689,609,"Olivia Simmons","Graduate Degree","1-2 Miles",609,"Bellingham","Washington","United States"
21690,49,"Samantha Thomas","Graduate Degree","0-1 Miles",49,"Cliffside","British Columbia","Canada"
21691,59,"Brandon Martin","Graduate Degree","0-1 Miles",59,"Oak Bay","British Columbia","Canada"
21692,648,"Savannah Ward","Graduate Degree","0-1 Miles",648,"Yakima","Washington","United States"
21693,299,"Alyssa Ashe","Graduate Degree","0-1 Miles",299,"Berkeley","California","United States"
21694,299,"Bobby Sai","Graduate Degree","0-1 Miles",299,"Berkeley","California","United States"
21695,299,"Ethan Rodriguez","Graduate Degree","1-2 Miles",299,"Berkeley","California","United States"
21696,614,"Gabrielle Watson","High School","0-1 Miles",614,"Edmonds","Washington","United States"
21697,385,"Dalton Powell","High School","1-2 Miles",385,"Woodland Hills","California","United States"
21698,311,"Tracy She","High School","1-2 Miles",311,"Concord","California","United States"
21699,339,"Logan Sharma","Partial College","1-2 Miles",339,"Mill Valley","California","United States"
21700,352,"Juan Ramirez","Partial College","1-2 Miles",352,"Palo Alto","California","United States"
21701,542,"Abigail Sanders","High School","1-2 Miles",542,"Lake Oswego","Oregon","United States"
21702,64,"Paige Gonzales","High School","0-1 Miles",64,"Shawnee","British Columbia","Canada"
21703,69,"Paige Blue","High School","1-2 Miles",69,"Victoria","British Columbia","Canada"
21704,637,"Charles Martinez","Partial College","1-2 Miles",637,"Seattle","Washington","United States"
21705,307,"Warren Sharma","High School","0-1 Miles",307,"Chula Vista","California","United States"
21706,612,"Haley Murphy","High School","1-2 Miles",612,"Burien","Washington","United States"
21707,618,"Cassidy Simmons","High School","1-2 Miles",618,"Issaquah","Washington","United States"
21708,616,"Andrea Brooks","Partial College","0-1 Miles",616,"Everett","Washington","United States"
21709,546,"Katherine Torres","Partial College","1-2 Miles",546,"Oregon City","Oregon","United States"
21710,62,"Brittany Gonzales","Partial College","1-2 Miles",62,"Royal Oak","British Columbia","Canada"
21711,383,"Hailey Gray","Partial College","1-2 Miles",383,"West Covina","California","United States"
21712,316,"Megan Ross","Graduate Degree","1-2 Miles",316,"El Cajon","California","United States"
21713,315,"Jose Parker","Graduate Degree","0-1 Miles",315,"Downey","California","United States"
21714,612,"Carmen Patel","Graduate Degree","0-1 Miles",612,"Burien","Washington","United States"
21715,644,"Jonathan Ross","Graduate Degree","1-2 Miles",644,"Walla Walla","Washington","United States"
21716,612,"Gerald Sara","Graduate Degree","0-1 Miles",612,"Burien","Washington","United States"
21717,374,"Angel King","Partial College","0-1 Miles",374,"Torrance","California","United States"
21718,336,"Devin Roberts","Graduate Degree","1-2 Miles",336,"Lincoln Acres","California","United States"
21719,543,"Morgan Torres","Graduate Degree","1-2 Miles",543,"Lebanon","Oregon","United States"
21720,301,"Raul Jai","Graduate Degree","0-1 Miles",301,"Burbank","California","United States"
21721,635,"Sara Campbell","Graduate Degree","1-2 Miles",635,"Renton","Washington","United States"
21722,372,"Spencer Wood","Graduate Degree","1-2 Miles",372,"Spring Valley","California","United States"
21723,302,"Tiffany Huang","Graduate Degree","1-2 Miles",302,"Burlingame","California","United States"
21724,311,"Mandy Yang","Graduate Degree","0-1 Miles",311,"Concord","California","United States"
21725,69,"Gabrielle Cannata","Graduate Degree","0-1 Miles",69,"Victoria","British Columbia","Canada"
21726,63,"Morgan Hall","Graduate Degree","0-1 Miles",63,"Shawnee","British Columbia","Canada"
21727,64,"Arianna Flores","Graduate Degree","1-2 Miles",64,"Shawnee","British Columbia","Canada"
21728,612,"Madison Harris","Graduate Degree","1-2 Miles",612,"Burien","Washington","United States"
21729,641,"Alexandria Morgan","Graduate Degree","1-2 Miles",641,"Spokane","Washington","United States"
21730,301,"Noah Campbell","Graduate Degree","1-2 Miles",301,"Burbank","California","United States"
21731,331,"Alexandra Diaz","Graduate Degree","1-2 Miles",331,"La Jolla","California","United States"
21732,57,"Ian Johnson","Graduate Degree","1-2 Miles",57,"Newton","British Columbia","Canada"
21733,627,"Ian Simmons","Graduate Degree","1-2 Miles",627,"Marysville","Washington","United States"
21734,337,"Grace Garcia","Graduate Degree","1-2 Miles",337,"Long Beach","California","United States"
21735,314,"Grace Diaz","Graduate Degree","0-1 Miles",314,"Daly City","California","United States"
21736,301,"Thomas Thompson","Graduate Degree","0-1 Miles",301,"Burbank","California","United States"
21737,223,"Timothy Rivera","Graduate Degree","0-1 Miles",223,"Saint-Denis","Seine Saint Denis","France"
21738,265,"Francis Alonso","Graduate Degree","0-1 Miles",265,"Peterborough","England","United Kingdom"
21739,273,"Dale Rai","Graduate Degree","0-1 Miles",273,"Watford","England","United Kingdom"
21740,273,"Taylor Walker","Graduate Degree","0-1 Miles",273,"Watford","England","United Kingdom"
21741,54,"Alexa Sanders","Partial College","5-10 Miles",54,"N. Vancouver","British Columbia","Canada"
21742,51,"Katelyn Cox","Partial College","2-5 Miles",51,"Langford","British Columbia","Canada"
21743,307,"Theresa Rubio","Bachelors","2-5 Miles",307,"Chula Vista","California","United States"
21744,310,"Emma Perry","Bachelors","2-5 Miles",310,"Colma","California","United States"
21745,52,"Isabel Foster","Bachelors","2-5 Miles",52,"Langley","British Columbia","Canada"
21746,334,"Xavier Hernandez","High School","2-5 Miles",334,"Lakewood","California","United States"
21747,302,"Derrick Munoz","Bachelors","2-5 Miles",302,"Burlingame","California","United States"
21748,325,"Wyatt Harris","Bachelors","0-1 Miles",325,"Glendale","California","United States"
21749,310,"Ashley Williams","Bachelors","1-2 Miles",310,"Colma","California","United States"
21750,312,"Carlos Reed","Graduate Degree","10+ Miles",312,"Coronado","California","United States"
21751,335,"Logan Jackson","Graduate Degree","1-2 Miles",335,"Lemon Grove","California","United States"
21752,41,"Rafael Li","Graduate Degree","10+ Miles",41,"Calgary","Alberta","Canada"
21753,536,"Morgan Robinson","Bachelors","1-2 Miles",536,"Beaverton","Oregon","United States"
21754,548,"Kaitlyn Lopez","Bachelors","1-2 Miles",548,"Salem","Oregon","United States"
21755,312,"Lucas White","Bachelors","1-2 Miles",312,"Coronado","California","United States"
21756,369,"Allison Carter","Bachelors","1-2 Miles",369,"Santa Monica","California","United States"
21757,623,"Elijah Wang","Bachelors","5-10 Miles",623,"Kirkland","Washington","United States"
21758,612,"Patricia Malhotra","High School","10+ Miles",612,"Burien","Washington","United States"
21759,71,"Jennifer Moore","High School","10+ Miles",71,"Westminster","British Columbia","Canada"
21760,311,"Margaret She","High School","10+ Miles",311,"Concord","California","United States"
21761,374,"Makayla Sanders","Bachelors","10+ Miles",374,"Torrance","California","United States"
21762,616,"Andrea Hernandez","Bachelors","1-2 Miles",616,"Everett","Washington","United States"
21763,634,"Madison Brown","High School","2-5 Miles",634,"Redmond","Washington","United States"
21764,58,"Nathan Smith","High School","10+ Miles",58,"Newton","British Columbia","Canada"
21765,546,"Nathaniel Kelly","High School","2-5 Miles",546,"Oregon City","Oregon","United States"
21766,298,"Jesse Baker","Bachelors","10+ Miles",298,"Bellflower","California","United States"
21767,298,"Mariah Ramirez","Bachelors","10+ Miles",298,"Bellflower","California","United States"
21768,53,"Cole Watson","Bachelors","10+ Miles",53,"Metchosin","British Columbia","Canada"
21769,311,"Michele Rubio","Bachelors","2-5 Miles",311,"Concord","California","United States"
21770,635,"Brandon Thomas","Bachelors","10+ Miles",635,"Renton","Washington","United States"
21771,307,"Sheena Shen","Bachelors","10+ Miles",307,"Chula Vista","California","United States"
21772,547,"Sarah Patterson","Bachelors","10+ Miles",547,"Portland","Oregon","United States"
21773,536,"Alyssa Rogers","Bachelors","2-5 Miles",536,"Beaverton","Oregon","United States"
21774,374,"Brian James","Partial College","10+ Miles",374,"Torrance","California","United States"
21775,345,"Sean Ramirez","Partial College","10+ Miles",345,"Newport Beach","California","United States"
21776,623,"Daniel Thompson","Partial College","10+ Miles",623,"Kirkland","Washington","United States"
21777,66,"Emily Gonzales","Partial College","2-5 Miles",66,"Sooke","British Columbia","Canada"
21778,612,"Louis Shen","Partial College","2-5 Miles",612,"Burien","Washington","United States"
21779,311,"Maurice Black","Partial College","10+ Miles",311,"Concord","California","United States"
21780,311,"Pedro Gonzalez","Partial College","2-5 Miles",311,"Concord","California","United States"
21781,626,"Jared Rivera","Bachelors","10+ Miles",626,"Lynnwood","Washington","United States"
21782,536,"Blake Martin","High School","10+ Miles",536,"Beaverton","Oregon","United States"
21783,612,"Kate Goel","High School","10+ Miles",612,"Burien","Washington","United States"
21784,614,"Mackenzie Hernandez","Partial College","10+ Miles",614,"Edmonds","Washington","United States"
21785,307,"Tabitha Rodriguez","Partial College","2-5 Miles",307,"Chula Vista","California","United States"
21786,316,"Alexis Bennett","Bachelors","10+ Miles",316,"El Cajon","California","United States"
21787,326,"Rebecca Allen","Bachelors","10+ Miles",326,"Grossmont","California","United States"
21788,331,"Spencer Barnes","Bachelors","2-5 Miles",331,"La Jolla","California","United States"
21789,343,"Lauren Griffin","Bachelors","10+ Miles",343,"National City","California","United States"
21790,358,"James Diaz","Bachelors","10+ Miles",358,"San Carlos","California","United States"
21791,361,"Richard Price","Bachelors","1-2 Miles",361,"San Gabriel","California","United States"
21792,69,"Cassidy Butler","Partial College","10+ Miles",69,"Victoria","British Columbia","Canada"
21793,546,"Kaylee Scott","Partial College","2-5 Miles",546,"Oregon City","Oregon","United States"
21794,315,"Alyssa James","Partial College","2-5 Miles",315,"Downey","California","United States"
21795,361,"Tristan Bennett","Partial College","10+ Miles",361,"San Gabriel","California","United States"
21796,66,"Emma Ward","Partial High School","2-5 Miles",66,"Sooke","British Columbia","Canada"
21797,609,"Kelvin Gao","Partial College","2-5 Miles",609,"Bellingham","Washington","United States"
21798,543,"Jade Sanders","Partial College","2-5 Miles",543,"Lebanon","Oregon","United States"
21799,543,"Angel Cook","Partial College","10+ Miles",543,"Lebanon","Oregon","United States"
21800,311,"Heidi Raman","Partial College","2-5 Miles",311,"Concord","California","United States"
21801,352,"Kaylee Cooper","Partial College","1-2 Miles",352,"Palo Alto","California","United States"
21802,372,"Lucas Roberts","Bachelors","5-10 Miles",372,"Spring Valley","California","United States"
21803,49,"Emily Thomas","Partial High School","10+ Miles",49,"Cliffside","British Columbia","Canada"
21804,632,"Brooke Cook","High School","10+ Miles",632,"Port Orchard","Washington","United States"
21805,635,"Lucas Russell","Partial College","2-5 Miles",635,"Renton","Washington","United States"
21806,301,"Kelvin Xie","Partial College","10+ Miles",301,"Burbank","California","United States"
21807,310,"Amanda Campbell","Partial College","2-5 Miles",310,"Colma","California","United States"
21808,315,"Amanda Green","Partial College","2-5 Miles",315,"Downey","California","United States"
21809,334,"Sydney Thompson","Partial College","10+ Miles",334,"Lakewood","California","United States"
21810,372,"Justin Miller","Partial College","10+ Miles",372,"Spring Valley","California","United States"
21811,310,"Olivia Williams","Partial High School","10+ Miles",310,"Colma","California","United States"
21812,637,"Adrian Bailey","High School","2-5 Miles",637,"Seattle","Washington","United States"
21813,64,"Dalton Brown","High School","2-5 Miles",64,"Shawnee","British Columbia","Canada"
21814,552,"Noah Edwards","High School","10+ Miles",552,"W. Linn","Oregon","United States"
21815,63,"Gabrielle Green","High School","10+ Miles",63,"Shawnee","British Columbia","Canada"
21816,175,"Jackson Roberts","Bachelors","0-1 Miles",175,"Saarlouis","Saarland","Germany"
21817,273,"Jerome Carlson","Partial College","5-10 Miles",273,"Watford","England","United Kingdom"
21818,225,"Willie Chander","Partial College","5-10 Miles",225,"Orly","Val de Marne","France"
21819,224,"Chloe Howard","Partial College","5-10 Miles",224,"Tremblay-en-France","Seine Saint Denis","France"
21820,190,"Priscilla Nath","Partial College","5-10 Miles",190,"Villeneuve-d'Ascq","Nord","France"
21821,142,"Clayton Tang","High School","5-10 Miles",142,"Bonn","Hamburg","Germany"
21822,278,"Gregory Yuan","Bachelors","0-1 Miles",278,"York","England","United Kingdom"
21823,123,"Lacey She","High School","5-10 Miles",123,"Berlin","Hessen","Germany"
21824,255,"Warren She","High School","5-10 Miles",255,"London","England","United Kingdom"
21825,140,"Randy Zhou","Partial College","5-10 Miles",140,"Berlin","Hamburg","Germany"
21826,121,"Abigail Russell","Partial High School","10+ Miles",121,"Ingolstadt","Bayern","Germany"
21827,171,"Mallory Gutierrez","Partial College","0-1 Miles",171,"Neunkirchen","Saarland","Germany"
21828,160,"Megan Gonzales","Partial College","0-1 Miles",160,"Paderborn","Nordrhein-Westfalen","Germany"
21829,270,"Carolyn Rana","High School","5-10 Miles",270,"W. York","England","United Kingdom"
21830,272,"Briana Alonso","High School","5-10 Miles",272,"Warrington","England","United Kingdom"
21831,189,"Yolanda Anand","Partial College","10+ Miles",189,"Roubaix","Nord","France"
21832,188,"Pedro Gill","Bachelors","10+ Miles",188,"Roncq","Nord","France"
21833,130,"Terrance Gonzalez","Partial College","2-5 Miles",130,"Duesseldorf","Hessen","Germany"
21834,120,"Jillian Mehta","Partial College","10+ Miles",120,"Hof","Bayern","Germany"
21835,175,"Susan Sun","Bachelors","10+ Miles",175,"Saarlouis","Saarland","Germany"
21836,162,"Kristi Raman","Bachelors","5-10 Miles",162,"Werne","Nordrhein-Westfalen","Germany"
21837,131,"Megan Alexander","Partial College","2-5 Miles",131,"Frankfurt","Hessen","Germany"
21838,173,"Gerald Ruiz","Partial College","10+ Miles",173,"Poing","Saarland","Germany"
21839,241,"Billy Diaz","Bachelors","10+ Miles",241,"Kirkby","England","United Kingdom"
21840,258,"Stacey Ma","Partial College","5-10 Miles",258,"Maidenhead","England","United Kingdom"
21841,278,"Lindsay Nath","Bachelors","5-10 Miles",278,"York","England","United Kingdom"
21842,147,"Neil Navarro","Bachelors","10+ Miles",147,"Hamburg","Hamburg","Germany"
21843,158,"Erica He","Bachelors","10+ Miles",158,"Leipzig","Nordrhein-Westfalen","Germany"
21844,120,"James Long","Partial College","2-5 Miles",120,"Hof","Bayern","Germany"
21845,184,"Cameron Miller","High School","2-5 Miles",184,"Metz","Moselle","France"
21846,121,"Kevin Patterson","Partial College","10+ Miles",121,"Ingolstadt","Bayern","Germany"
21847,249,"Dominic Madan","High School","0-1 Miles",249,"London","England","United Kingdom"
21848,248,"Jerry Raje","Partial College","10+ Miles",248,"London","England","United Kingdom"
